Observation Number,Is GLOBE Trained,is Citizen Science,Site ID,Observation Latitude,Observation Longitude,Observation Elevation,Measurement Date (UTC),Measurement Time (UTC),Is_dust,Dust_QA_comment,Sky Color,Sky Visibility,Total Cloud Cover,Total Cloud Cover %,Cirrus,Cirrocumulus,Cirrostratus,Altostratus,Altocumulus,Cumulus,Nimbostratus,Stratus,Stratocumulus,Cumulonimbus,Short Lived Contrails,Spreading Contrails,Non Spreading Contrails,Fog,Smoke,Haze,Volcanic Ash,Dust,Sand,Spray,Heavy Rain,Heavy Snow,Blowing Snow,Surface Snow/Ice,Surface Standing Water,Surface Muddy,Surface Dry Ground,Surface Leaves on Trees,Surface Raining or Snowing,High Cloud Cover,High Cloud Opacity,Mid Cloud Cover,Mid Cloud Opacity,Low Cloud Cover,Low Cloud Opacity,Surface Air Temperature,Surface Barometric Pressure,Surface Relative Humidity %,Ground Image North,Ground Image East,Ground Image South,Ground Image West,Ground Image Up,Ground Image Down,GEO/Terra/Aqua Satellite Match Table,CALIPSO Satellite Match Table,GEO Satellite,GEO Date,GEO Time,GEO Latitude,GEO Longitude,GEO Vzen,GEO Szen,GEO Low Cloud Cover,GEO Mid Cloud Cover,GEO High Cloud Cover,GEO Low Liquid,GEO Mid Lquid,GEO High Liquid,GEO Low Ice,GEO Mid Ice,GEO High Ice,GEO Low Cloud Opt,GEO Mid Cloud Opt,GEO High Cloud Opt,GEO Low Cloud Temp (K),GEO Mid Cloud Temp (K),GEO High Cloud Temp (K), GEO Low Cloud Altitude,GEO Mid Cloud Altitude,GEO High Cloud Altitude,GEO Snow,GEO Ocean,Terra Satellite,Terra Longitude,Terra Latitude,Terra Date,Terra Time,Terra Low Cloud Altitude,Terra Low Cloud Opt,Terra Low Cloud Cover,Terra Low Cloud Phase,Terra Low Cloud Temp (K),Terra Mid Cloud Altitude,Terra Mid Cloud Opt,Terra Mid Cloud Cover,Terra Mid Cloud Phase,Terra Mid Cloud Temp (K),Terra High Cloud Altitude,Terra High Cloud Opt,Terra High Cloud Cover,Terra High Cloud Phase,Terra High Cloud Temp (K),Terra Vzen,Terra Szen,Terra Wind,Terra Snow,Terra Ocean,Aqua Satellite,Aqua Longitude,Aqua Latitude,Aqua Date, Aqua Time, Aqua Low Cloud Altitude, Aqua Low Cloud Opt, Aqua Low Cloud Cover, Aqua Low Cloud Phase, Aqua Low Cloud Kel, Aqua Mid Cloud Altitude, Aqua Mid Cloud Opt, Aqua Mid Cloud Cover, Aqua Mid Cloud Phase, Aqua Mid Cloud Kel, Aqua High Cloud Altitude, Aqua High Cloud Opt, Aqua High Cloud Cover,Aqua High Cloud Phase,Aqua High Cloud Kel, Aqua Sat Vzen, Aqua Sat Szen, Aqua Wind, Aqua Snow, Aqua Ocean,,,
386341,1,0,12598,24.2527,39.3088,838,2/8/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,29,905,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386342,1,0,12596,24.2527,39.3088,830,2/8/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,28,-99,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386337,1,0,12600,24.24672,39.30092,2300,2/8/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,29,755,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386284,1,0,6618,33.2346,35.638,23,2/8/12,10:10:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0, , , , , , ,16,1017,47,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386277,1,0,6751,32.25,34.22,434,2/8/12,10:20:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0, , , , , , ,14,-99,38,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385982,1,0,12600,24.24672,39.30092,2300,2/9/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,25,755,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385983,1,0,12599,24.851,39.30414,2328,2/9/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,25,753,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385984,1,0,12601,24.24673,39.30093,2300,2/9/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,25,-99,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385986,1,0,12598,24.2527,39.3088,838,2/9/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,25,905,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385987,1,0,12596,24.2527,39.3088,830,2/9/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,24,-99,18,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385628,1,0,12596,24.2527,39.3088,830,2/10/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,23,-99,20,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385629,1,0,12600,24.24672,39.30092,2300,2/10/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,24,755,20,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385630,1,0,12601,24.24673,39.30093,2300,2/10/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,24,-99,20,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385627,1,0,12598,24.2527,39.3088,838,2/10/12,9:40:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,24,905,20,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
