European Space Agency Paris,DLR - GERMAN AEROSPACE CENTER,Linder Höhe COLOGNE Germany,SUPPORT FOR SENTINEL-1 CONSTELLATION CALIBRATION,1/1/2017,12/31/2017,48.8481349,2.3042778,50.937531,6.9602786
European Space Agency Paris,EARSC - EUROPEAN ASSOC REMOTE SENSI,Rue Beranger BRUSSELS Belgium,SHOWCASING THE BENEFITS BROUGHT BY THE USAGE OF SENTINELSDATA TO SOCIETY ENVIRONMENT AND ECONOMY,1/1/2017,12/31/2017,48.8481349,2.3042778,50.8190792,4.3280866
European Space Agency Paris,EJR QUARTZ B.V,3E BINNENVESTGRACHT Leiden The Netherlands,SENTINEL USER HANDBOOK  TECHNICAL EDITORIAL SERVICE,1/1/2017,12/31/2017,48.8481349,2.3042778,52.1641066,4.4911164
European Space Agency Paris,EUROPEAN SPACE IMAGING GMBH,Arnulfstrasse Munich Germany,COPERNICUS SPACE COMPONENT DATA ACCESS (CSC DA)  DATAWAREHOUSE,1/1/2017,12/31/2017,48.8481349,2.3042778,48.1463495,11.536034
European Space Agency Paris,GISAT S.R.O.GEOINFORMATION SERVICE,MILADY HORAKOVE PRAHA 7 Czech Republic,USE OF THE SUITABILITY COVERAGE ENGINE (SUCE) TOOL INSUPPORT TO THE COMPLETION OF THE OPTICAL HIGH-RESOLUTIONCOVERAGE OF EEA-39 (HR_IMAGE_2015),1/1/2017,12/31/2017,48.8481349,2.3042778,50.0992743,14.4189858
European Space Agency Paris,GMV AEROSPACE AND DEFENCE SA,ISAAC NEWTON / PTM MADRID / TRES CANTOS Spain,SENTINEL 1 2 3 PRECISE ORBIT DETERMINATION SERVICE,1/1/2017,12/31/2017,48.8481349,2.3042778,40.5912849,-3.7066223
European Space Agency Paris,GMV AEROSPACE AND DEFENCE SA,ISAAC NEWTON / PTM MADRID / TRES CANTOS Spain,SENTINEL-5P OPERATIONAL SIMULATOR MAINTENANCE,1/1/2017,12/31/2017,48.8481349,2.3042778,40.5912849,-3.7066223
European Space Agency Paris,HISDESAT SERVICIOS ESTRATÉGICOS S.A,Paseo de la Castellana 149 4th floor MADRID Spain,COPERNICUS SPACE COMPONENT DATA ACCESS (CSC DA)  DATAWAREHOUSE,1/1/2017,12/31/2017,48.8481349,2.3042778,40.4604363,-3.6905931
European Space Agency Paris,IABG MBH,EINSTEINSTRASSE Ottobrunn Germany,SENTINEL-5 ITF ACTIVITY,1/1/2017,12/31/2017,48.8481349,2.3042778,48.0543598,11.6606314
European Space Agency Paris,JENA-OPTRONIK GMBH,Otto-Eppenstein-Strasse JENA Germany,Sentinel 2 Satellites C/D Units construction,1/1/2017,12/31/2017,48.8481349,2.3042778,50.8873813,11.5904305
European Space Agency Paris,KING'S COLLEGE LONDON,WATERLOO ROAD London United Kingdom,TECHNICAL ASSISTANCE TO THE EVALUATION AND VALIDATION OFSENTINEL-3 ACTIVE FIRE DETECTION AND FRP PRODUCTS DURINGTHE FIRE DETECTION EXPERIMENT (FIDEX),1/1/2017,12/31/2017,48.8481349,2.3042778,51.5024427,-0.110216
European Space Agency Paris,KONGSBERG SATELLITE SERVICES AS,PRESTVANNVEIEN TROMSO NORWAY,PREPARATION AND OPERATION OF THE CORE X-BAND ACQUISITIONAND NEAR REAL-TIME FACILITIES AT THE SVALBARD GROUNDSTATION,1/1/2017,12/31/2017,48.8481349,2.3042778,69.6602242,18.9440471
European Space Agency Paris,LATELEC,762 RUE MAX PLANCK LABEGE CEDEX France,Sentinel-5 Instrument Harness (IHAR),1/1/2017,12/31/2017,48.8481349,2.3042778,43.5545225,1.5088795
European Space Agency Paris,Leonardo S.p.a.,Piazza Monte Grappa Rome Italy,SENTINEL-3 C/D UNITS  SLSTR,1/1/2017,12/31/2017,48.8481349,2.3042778,41.9187132,12.4693225
European Space Agency Paris,Leonardo S.p.a.,Piazza Monte Grappa Rome Italy,SENTINEL-5  SWIR SS ACTIVITY,1/1/2017,12/31/2017,48.8481349,2.3042778,41.9187132,12.4693225
European Space Agency Paris,LSE Space GMBH,ARGELSRIEDERFELD WESSLING Germany,SENTINEL-1 OPERATIONS ENGINEERING SUPPORT,1/1/2017,12/31/2017,48.8481349,2.3042778,48.0805096,11.2701711
European Space Agency Paris,LSE Space GMBH,ARGELSRIEDERFELD WESSLING Germany,SENTINEL-2 OPERATIONS ENGINEERING SUPPORT,1/1/2017,12/31/2017,48.8481349,2.3042778,48.0805096,11.2701711
European Space Agency Paris,LSE Space GMBH,ARGELSRIEDERFELD WESSLING Germany,SENTINEL-3 OPERATIONS ENGINEERING SUPPORT,1/1/2017,12/31/2017,48.8481349,2.3042778,48.0805096,11.2701711
European Space Agency Paris,LSE Space GMBH,ARGELSRIEDERFELD WESSLING Germany,SENTINEL-5P OPERATIONS ENGINEERING SUPPORT,1/1/2017,12/31/2017,48.8481349,2.3042778,48.0805096,11.2701711
European Space Agency Paris,NERC - PLYMOUTH MARINE LAB.,PROSPECT PLACE WEST HOE GB-PLYMOUTH PL13DH United Kingdom,SENTINEL-3 ATLANTIC MERIDIONAL TRANSECT (AMT) FIDUCIALREFERENCE MEASUREMENTS (FRM) CAMPAIGN (AMT4SENTINELFRM) -PHASE 1,1/1/2017,12/31/2017,48.8481349,2.3042778,50.3660902,-4.1481041
European Space Agency Paris,NEREUS,Rond-Point Schuman 14 BRUXELLES Belgium,ESA/EC PUBLICATION,1/1/2017,12/31/2017,48.8481349,2.3042778,50.8428531,4.3841988
European Space Agency Paris,RAKON FRANCE SAS,44 av. de la Glacière ARGENTEUIL France,SENTINEL-3 ULTRA STABLE OSCILLATOR INTEGRATION,1/1/2017,12/31/2017,48.8481349,2.3042778,48.9472096,2.2466847
European Space Agency Paris,RHEA SYSTEM S.A.,AVENUE PASTEUR WAVRE Belgium,PAYLOAD DATA GROUND SEGMENT (PDGS) - ENGINEERING ANDMANAGEMENT SUPPORT SERVICES,1/1/2017,12/31/2017,48.8481349,2.3042778,50.7291125,4.591214
European Space Agency Paris,RUAG SCHWEIZ AG RUAG SPACE,Seetalstrasse EMMEN SWITZERLAND,Sentinel 2 Satellites C/D Units construction,1/1/2017,12/31/2017,48.8481349,2.3042778,47.0883075,8.3099832
European Space Agency Paris,SERCO Italia SpA,VIA SCIADONNA I-00044 FRASCATI Italy,COPERNICUS DATA AND INFORMATION ACCESS SERVICESOPERATIONS,1/1/2017,12/31/2017,48.8481349,2.3042778,41.8131111,12.6803228
European Space Agency Paris,SERCO Italia SpA,VIA SCIADONNA I-00044 FRASCATI Italy,SENTINELS ROLLING ARCHIVE PRODUCTS USER ACCESSOPERATIONS MAINTENANCE AND EVOLUTIONS,1/1/2017,12/31/2017,48.8481349,2.3042778,41.8131111,12.6803228
European Space Agency Paris,SOLENIX DEUTSCHLAND GMBH,Rober-Bosch-Strasse DARMSTADT Germany,MAINTENANCE AND EVOLUTION OF THE COPERNICUS APPS FORMOBILE DEVICES,1/1/2017,12/31/2017,48.8481349,2.3042778,49.8707892,8.624588
European Space Agency Paris,Sorbonne Université SU,4 PLACE JUSSIEU PARIS CEDEX France,Sentinel 2 & 3 Fiducial References: Measurement for Ocean Colour: Boussole,1/1/2017,12/31/2017,48.8481349,2.3042778,48.8466079,2.3549061
European Space Agency Paris,SPACE GEOMATICA P.C.,Ksanthoudidou CHANIA Greece,SENTINEL-3 RADAR ALTIMETER CALIBRATION - OPERATIONALSUPPORT,1/1/2017,12/31/2017,48.8481349,2.3042778,35.5084795,24.02776
European Space Agency Paris,STFC RUTHERFORD APPLETONLABORATORY,HARWELL CAMPUS Didcot United Kingdom,Sentinel-3 SLSTR In-flight Performance Analysis,1/1/2017,12/31/2017,48.8481349,2.3042778,51.5808909,-1.3077737
European Space Agency Paris,Teledyne e2v (UK) Limited,106 WATERHOUSE LANE CHELMSFORD UnitedKingdom,SENTINEL-5  UVN CCD ACTIVITY,1/1/2017,12/31/2017,48.8481349,2.3042778,51.7317195,0.4562485
