name,address,lat,long
Patricia B. Tissera,CONICETUniversidad de Buenos Aires Edificio IAFE Ciudad Universitaria Buenos Aires 1428 Buenos Aires Argentina,-34.5421313,-58.4444116
Carlos A. Valotto,Observatorio Astronmico Laprida 854 Barrio Observatorio Crdoba 5000 Crdoba Argentina,-31.4206002,-64.1989851
Pablo Fabi�n Vel�zquez,UNAM Universidad Nacional Autnoma de Mxico Instituto de Ciencias Nucleares Delg Coyoacn CP Ciudad Universitaria Mxico DF 04510 Mexico,19.3257195,-99.1804715
Liria G. Bagala,CONICETUniversidad de Buenos Aires Edificio IAFE Ciudad Universitaria Buenos Aires 1428 Buenos Aires Argentina,-34.5421313,-58.4444116
Alexandre Humberto Andrei,Observatorio Nacional GPADiretoria R Gal Jose Cristino 77 So Cristvo Rio de Janeiro RJ 20921400 Rio de Janeiro RJ Brazil,-22.8949813,-43.225657
Raymundo Baptista,Universidade Federal de Santa Catarina Departamento de Fsica CFM Bairro da Trindade CP 476 Florianpolis 88040900 Santa Catarina SC Brazil,-27.5985254,-48.5235607
Roberto D. Dias da Costa,Universidade de So Paulo Instituto de Astronomia Geofsica e Cincias Atmosfricas Rua do Mato 1226 Cidade Universitria So Paulo SP 05508900 So Paulo SP Brazil,-23.5596434,-46.7338768
Cristina Chiappini,AIP Leibniz Institute fuer Astrophysik Potsdam An der Sternwarte 16 14482 Potsdam Germany,52.4039373,13.1014067
Wagner J.B. Corradi,UFMG Departamento de Fsica Av Antnio Carlos 6667 Campus Pampulha Belo Horizonte MG 31270901 Minas Gerais MG Brazil,-19.870682,-43.9677359
Francois C. Cuisinier,Brazil ,-15.826691,-47.9218204
Marcos P. Diaz,Universidade de So Paulo Inst Astronomico e Geofisico Rua do Mato 1226 Cidade Universitria So Paulo SP 05508900 So Paulo SP Brazil,-23.5596434,-46.7338768
Natalia Drake,Observatorio Nacional R Gal Jose Cristino 77 So Cristvo Rio de Janeiro RJ 20921400 Rio de Janeiro RJ Brazil,-22.8949813,-43.225657
Silvia M. Giuliatti Winter,Universidade Estadual Paulista Matemtica Av A Pereira da Cunha 333 Pedregulho Guaratinguet 12516410 So Paulo SP Brazil,-22.8049106,-45.1891784
Jos� Ademir Sales de Lima,Universidade de So PauloUSPIAG Instituto de Astronomia Geofisica e Ciencias Atmosfricas Rua do Mato Cidade Universitaria So Paulo SP 05508900 So Paulo SP Brazil,-23.5596434,-46.7338768
Marcio Roberto de Garcia Maia,Universidade Federal do Rio Grande do Norte Universidade Federal do Sul da Bahia UFSB Centro de Formao em TecnoCincias e Inovao CFTCI Campus Jorge Amado Rua Itabuna sn Rod IlhusVitria da Conquista km 39 BR 415 Ferradas Itabuna BA 45613204 Bahia BA Brazil,-14.843625,-39.333941
Luiz Themystokliz Sanctos Mendes,Universidade Federal de Minas Gerais Electronics Engineering Department Av Antonio Carlos 6627 Departamento de Engenharia Eletronica Belo Horizonte MG 31270901 Minas Gerais MG Brazil,-19.8690279,-43.9559636
Gustavo F. Porto de Mello,Universidade Federal do Rio de Janeiro Observatorio do Valongo Ladeira do Pedro Antonio 43 Rio de Janeiro RJ 20080090 Rio de Janeiro RJ Brazil,-22.8985737,-43.1866341
Marcelo Byrro Ribeiro,Universidade Federal do Rio de Janeiro Physics Institute Centro de Tecnologia Bl A 3o andar Ilha do Fundo Rio de Janeiro RJ 21941972 Rio de Janeiro RJ Brazil,-22.8617077,-43.2234035
Silvia C.F. Rossi,Universidade de So Paulo Inst Astronomico e Geofisico Rua do Mato 1226 Cidade Universitria So Paulo SP 05508900 So Paulo SP Brazil,-23.5596434,-46.7338768
Joao F. C. Santos Jr.,Instituto de Ciencias Exatas Universidade Federal de Minas Gerais Departamento de Fisica Av Antonio Carlos 6627 Pampulha Belo Horizonte MG 31270901 Minas Gerais MG Brazil,-19.8691265,-43.9647344
Ivanka Kirtcheva Stateva,Bulgarian Academy of Sciences Institute of Astronomy with National Astronomical Observatory Rozhen 72 Tsarigradsko chaussee blvd Sofia 1784 Bulgaria,41.6947013,24.7384095
Petko Lubenov Nedialkov,Sofia University St K Ohridski Astronomy Dept 5 James Bourchier Blvd Sofia 1164 Bulgaria,42.6935079,23.3347928
Sylvie F. Beaulieu,University of Waterloo Physics and Astronomy 200 University Ave West Waterloo N2L 3G1 Ontario ON Canada,43.4722854,-80.5448576
Pierre Brassard,Universit de Montral Dept de Physique CP 6128 Succ A Montral QC H3C 3J7 Quebec QC Canada,45.495198,-73.62214
St�phane J. Courteau,Queens University Dept Physics and Astronomy Stirling Hall 64 Bader Lane Kingston ON K7L 3N6 Ontario ON Canada,44.2246063,-76.4977524
Sean M Dougherty,ALMA Alonso Cordoba 3107 7630355 Vitacura Chile,-33.3995609,-70.5997436
Alexander W. Fullerton,Space Telescope Science Institute 3700 San Martin Drive Baltimore MD 212182686 Maryland MD United States,39.3327417,-76.6233669
David E. Holmgren,126 Amiens Crescent SW Calgary T2T 6G1 Alberta AB Canada,51.0135939,-114.1134044
Michael J. Hudson,University of Waterloo Dept of Physics Astronomy 200 University Ave W Waterloo ON N2L 3G1 Ontario ON Canada,43.4722854,-80.5448576
Rene Pierre Martin,University of Hawaii at Hilo Department of Physics and Astronomy 200 W Kawili Street Hilo 967204091 Arizona AZ United States,19.7011389,-155.0814464
Joanne M. Rosvick,Thompson Rivers University Dept of Physical Sciences 900 McGill Rd Kamloops BC V2C 0C8 British Columbia BC Canada,50.6705062,-120.365894
T. A. Aaron Sigut,University of Western Ontario Dept PhysicsAstronomy London ON N6A 3K7 Ontario ON Canada,43.0097095,-81.272617
Zhong Liu,Yunnan ObservatoriesChinese Academy of Sciences Fuxian Solar Observatory Kunming 650011 Yunnan China Nanjing,24.880095,102.832891
Zhongquan Qu,Chinese Academy of Sciences Yunnan Astronomical Observatory Wentai Road Guandu District Kunming 650011 Yunnan China Nanjing,25.022235,102.79002
Qingzhong LIU,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Hongchi WANG,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
De Jin WU,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Jingyuan MA,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Daming WEI,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Qijun YAO,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Yanning FU,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Rui-Qing MAO,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Yiping WANG,Chinese Academy of Sciences National Astronomical Observatories 20A Datun Road Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Haisheng JI,Chinese Academy of Sciences Purple Mountain Observatory 2 West Beijing Rd Nanjing 210008 Jiangsu China Nanjing,32.059348,118.780693
Guangyu LI,China Nanjing ,32.060255,118.796877
Ji-Lin ZHOU,Nanjing University School of Astronomy Space Science 163 Xianlin Road Qixia District Nanjing 210023 Jiangsu China Nanjing,32.2173172,118.8317561
Qiusheng GU,Nanjing University Astronomy Dept 22 Hankou Rd Nanjing 210093 Jiangsu China Nanjing,32.055739,118.777009
