Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Ivanka Kirtcheva Stateva,"['Bulgarian Academy of Sciences', 'Institute of Astronomy with National Astronomical Observatory - Rozhen', '72 Tsarigradsko chaussee blvd', 'Sofia 1784', 'Bulgaria']"
Petko Lubenov Nedialkov,"['Sofia University St K Ohridski', 'Astronomy Dept', '5 James Bourchier Blvd', 'Sofia 1164', 'Bulgaria']"
Sylvie F. Beaulieu,"['University of Waterloo', 'Physics and Astronomy', '200 University Ave West', 'Waterloo N2L 3G1', 'Ontario (ON)', 'Canada']"
Pierre Brassard,"['Université de Montréal', 'Dept de Physique', 'CP 6128 Succ A', 'Montréal QC H3C 3J7', 'Quebec (QC)', 'Canada']"
Stéphane J. Courteau,"[""Queen's University"", 'Dept Physics and Astronomy', 'Stirling Hall', '64 Bader Lane', 'Kingston ON K7L 3N6', 'Ontario (ON)', 'Canada']"
Sean M Dougherty,"['ALMA', 'Alonso Cordoba 3107', '7630355 Vitacura', 'Chile']"
Alexander W. Fullerton,"['Space Telescope Science Institute', '3700 San Martin Drive', 'Baltimore MD 21218-2686', 'Maryland (MD)', 'United States']"
David E. Holmgren,"['126 Amiens Crescent SW', 'Calgary T2T 6G1', 'Alberta (AB)', 'Canada']"
Michael J. Hudson,"['University of Waterloo', 'Dept of Physics & Astronomy', '200 University Ave W', 'Waterloo ON N2L 3G1', 'Ontario (ON)', 'Canada']"
Rene Pierre Martin,"['University of Hawaii at Hilo', 'Department of Physics and Astronomy', '200 W. Kawili Street', 'Hilo 96720-4091', 'Arizona (AZ)', 'United States']"
Joanne M. Rosvick,"['Thompson Rivers University', 'Dept of Physical Sciences', '900 McGill Rd', 'Kamloops BC V2C 0C8', 'British Columbia (BC)', 'Canada']"
T. A. Aaron Sigut,"['University of Western Ontario', 'Dept Physics-Astronomy', 'London ON N6A 3K7', 'Ontario (ON)', 'Canada']"
Zhong Liu,"['Yunnan Observatories，Chinese Academy of Sciences', 'Fuxian Solar Observatory', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
